List of neurons:
(10.000044719838078, 99.99999998937048)
(8.727836791676346, 72.54432641666426)
(26.80836805616772, 55.89161279595671)
(7.609338499704851E-13, 39.99999999999993)
(10.000000000002416, 30.000000000001794)
(10.0, 14.999999996465402)
(15.000000003734863, 7.182430044423096E-10)
(30.00280139554806, 2.010085023973022)
(36.27216320834484, 16.946808299972382)
(59.99999996157086, 5.000000023057484)
(80.00000001799377, 6.000000043185036)
(94.99999985018846, 5.000000749057716)
(99.99996746650977, 10.000065066980449)
(91.2721632083421, 28.72783679165912)
(63.9051424650219, 39.999999999587004)
(94.99999983031493, 60.000000064641675)
(99.99999999951969, 79.99999999979416)
(94.9999999999986, 94.99999999999959)
(84.99999780433366, 99.99999853622136)
(70.35468361546549, 68.94352433399183)
(66.18351036387212, 92.03546113423918)
(39.73525078930817, 99.9999999855267)
(30.0, 100.0)
(20.23342236214786, 98.04668446985183)
-1
