Path to follow:
(10.0, 70.0)
(17.07106809493453, 62.928932471203595)
(24.1421359743684, 55.85786472690651)
(30.0, 50.0)
(31.6439922604943, 40.13606115958565)
(33.287976858719, 30.272121042125985)
(34.931970007525756, 20.408182349763198)
(35.0, 20.0)
(44.65925826289068, 17.411809548974794)
(54.57634589640745, 24.09471382934277)
(55.0, 40.0)
(64.96072689639968, 39.11460760374839)
(74.92122270810384, 38.226617408981284)
(84.34090235717716, 33.74608531665197)
(90.0, 30.0)
(84.18755506768893, 38.13728971518474)
(78.37514886423446, 46.27460709422167)
(72.56281565852308, 54.41197661479611)
(66.75044783541462, 62.54932140838305)
(65.0, 65.0)
(69.47213787419467, 73.94427095040136)
(69.83500436290166, 84.40677028283486)
(70.0, 90.0)
(60.46950021339788, 93.02813041621013)
(50.90849635902731, 95.95940338681034)
(41.37174241819016, 98.96787978451694)
(31.24504950389143, 99.90221248227758)
(30.0, 100.0)
(28.588268917669687, 90.10015074098689)
(24.888163154768915, 80.66430440693333)
(15.319615240872459, 73.83731085450168)
-1
